,Stock_Codes,Company_Name
0,500002,ABB India Limited
1,500003,AEGIS LOGISTICS LTD.
2,500008,AMARA RAJA BATTERIES LTD.
3,500009,AMBALAL SARABHAI ENTERPRISES LTD.
4,500010,HOUSING DEVELOPMENT FINANCE CORP.LTD.
5,500012,ANDHRA PETROCHEMICALS LTD.
6,500013,ANSAL PROPERTIES & INFRASTRUCTURE LTD.
7,500014,Utique Enterprises Ltd
8,500016,ARUNA HOTELS LTD.
9,500020,BOMBAY DYEING & MFG.CO.LTD.
10,500023,Asian Hotels (North) Limited
11,500024,Assam Company (India) Limited
12,500027,ATUL LTD.
13,500028,ATV PROJECTS INDIA LTD.
14,500029,AUTOLITE (INDIA) LTD.
15,500030,AUTORIDERS FINANCE LTD.
16,500031,BAJAJ ELECTRICALS LTD.
17,500032,Bajaj Hindusthan Sugar Limited
18,500033,FORCE MOTORS LTD.
19,500034,Bajaj Finance Limited
20,500038,BALRAMPUR CHINI MILLS LTD.
21,500039,BANCO PRODUCTS (INDIA) LTD.
22,500040,CENTURY TEXTILES & INDUSTRIES LTD.
23,500041,BANNARI AMMAN SUGARS LTD.
24,500042,BASF INDIA LTD.
25,500043,BATA INDIA LTD.
26,500046,Best & Crompton Engg.ltd.
27,500048,BEML LTD.
28,500049,BHARAT ELECTRONICS LTD.
29,500051,Bhagawati Gas Limited
30,500052,BHANSALI ENGINEERING POLYMERS LTD.
31,500055,Tata Steel Bsl Ltd
32,500057,ADITYA BIRLA CHEMICALS (INDIA) LTD.
33,500058,BIHAR SPONGE IRON LTD.
34,500059,BINANI INDUSTRIES LTD.
35,500060,Birla Cable Ltd
36,500067,BLUE STAR LTD.
37,500068,DISA INDIA LTD.
38,500069,Quest Capital Markets Ltd
39,500074,BPL LTD.
40,500077,Cable Corporation Of India Ltd.
41,500078,Oriental Aromatics Ltd
42,500083,CENTURY EXTRUSIONS LTD.
43,500084,CESC LTD.
44,500085,CHAMBAL FERTILISERS & CHEMICALS LTD.
45,500086,EXIDE INDUSTRIES LTD.
46,500087,CIPLA LTD.
47,500089,DIC INDIA LTD.
48,500092,CRISIL LTD.
49,500093,CG Power and Industrial Solutions Ltd
50,500095,Wyeth Ltd.
51,500096,DABUR INDIA LTD.
52,500097,Dalmia Bharat Sugar and Industries Ltd
53,500101,ARVIND LTD.
54,500102,BALLARPUR INDUSTRIES LTD.
55,500103,BHARAT HEAVY ELECTRICALS LTD.
56,500104,HINDUSTAN PETROLEUM CORPORATION LTD.
57,500106,IFCI LTD.
58,500108,MAHANAGAR TELEPHONE NIGAM LTD.
59,500109,MANGALORE REFINERY & PETROCHEMICALS LTD.
60,500110,CHENNAI PETROLEUM CORPORATION LTD.
61,500111,RELIANCE CAPITAL LTD.
62,500112,STATE BANK OF INDIA
63,500113,STEEL AUTHORITY OF INDIA LTD.
64,500114,Titan Company Limited
65,500116,IDBI BANK LTD.
66,500117,DCW LTD.
67,500119,DHAMPUR SUGAR MILLS LTD.
68,500120,DIAMINES & CHEMICALS LTD.
69,500123,ELANTAS BECK INDIA LTD.
70,500124,DR.REDDY'S LABORATORIES LTD.
71,500125,E.I.D.-PARRY (INDIA) LTD.
72,500126,Procter & Gamble Health Ltd
73,500128,ELECTROSTEEL CASTINGS LTD.
74,500132,EMPEE SUGARS & CHEMICALS LTD.
75,500133,ESAB INDIA LTD.
76,500134,ESSAR OIL LTD.
77,500135,EPL Ltd
78,500136,ESTER INDUSTRIES LTD.
79,500139,Fedders Electric and Engineering Ltd
80,500141,FERRO ALLOYS CORPORATION LTD.
81,500142,FGP LTD.
82,500143,PH CAPITAL LTD.
83,500144,FINOLEX CABLES LTD.
84,500145,First Leasing Co.of India Ltd.
85,500147,John Cockerill India Ltd
86,500148,UFLEX LTD.
87,500150,FOSECO INDIA LTD.
88,500151,GOLDEN TOBACCO LTD.
89,500153,GANESH BENZOPLAST LTD.
90,500155,GARDEN SILK MILLS LTD.
91,500159,Metroglobal Limited
92,500160,GTL LTD.
93,500162,PARRYS SUGAR INDUSTRIES LTD.
94,500163,GODFREY PHILLIPS INDIA LTD.
95,500164,GODREJ INDUSTRIES LTD.
96,500165,KANSAI NEROLAC PAINTS LTD.
97,500166,GOODRICKE GROUP LTD.
98,500168,GOODYEAR INDIA LTD.
99,500170,GTN INDUSTRIES LTD.
100,500171,GHCL LTD.
101,500173,GFL Ltd
102,500174,GUJARAT LEASE FINANCING LTD.
103,500179,HCL INFOSYSTEMS LTD.
104,500180,HDFC Bank Ltd
105,500182,HERO MOTOCORP LTD.
106,500183,HFCL Ltd
107,500184,Himadri Speciality Chemical Ltd
108,500185,HINDUSTAN CONSTRUCTION CO.LTD.
109,500186,HINDUSTAN OIL EXPLORATION CO.LTD.
110,500187,Agi Greenpac Ltd
111,500188,HINDUSTAN ZINC LTD.
112,500189,NDL Ventures Ltd
113,500191,HMT LTD.
114,500192,PRAG BOSIMI SYNTHETICS LTD.
115,500193,HLV Ltd
116,500199,I G PETROCHEMICALS LTD.
117,500201,INDIA GLYCOLS LTD.
118,500202,INDIA LEASE DEVELOPMENT LTD.
119,500206,Margo Finance Limited
120,500207,INDO RAMA SYNTHETICS (INDIA) LTD.
121,500209,INFOSYS LTD.
122,500210,INGERSOLL-RAND (INDIA) LTD.
123,500211,INSILCO LTD.
124,500212,INTEGRATED FINANCIAL SERVICES LTD.
125,500213,INTERNATIONAL TRAVEL HOUSE LTD.
126,500214,ION EXCHANGE (INDIA) LTD.
127,500215,AGRO TECH FOODS LTD.
128,500219,JAIN IRRIGATION SYSTEMS LTD.
129,500220,JASCH INDUSTRIES LTD.
130,500222,JCT ELECTRONICS LTD.
131,500223,JCT LTD.
132,500227,JINDAL POLY FILMS LTD.
133,500228,JSW STEEL LTD.
134,500231,UMANG DAIRIES LTD.
135,500233,KAJARIA CERAMICS LTD.
136,500234,KAKATIYA CEMENT SUGAR & INDUSTRIES LTD.
137,500235,KALYANI STEELS LTD.
138,500236,Kanel Industries Limited
139,500238,WHIRLPOOL OF INDIA LTD.
140,500239,KG DENIM LTD.
141,500240,KINETIC ENGINEERING LTD.
142,500241,KIRLOSKAR BROTHERS LTD.
143,500243,Kirloskar Industries Ltd
144,500245,KIRLOSKAR FERROUS INDUSTRIES LTD.
145,500246,ENVAIR ELECTRODYNE LTD.
146,500247,KOTAK MAHINDRA BANK LTD.
147,500248,Krishna Filament Industries Ltd
148,500249,KSB Ltd
149,500250,L.G.BALAKRISHNAN & BROS.LTD.
150,500251,TRENT LTD.
151,500252,LAKSHMI MACHINE WORKS LTD.
152,500253,LIC HOUSING FINANCE LTD.
153,500254,UTTAM VALUE STEELS LTD.
154,500255,LML LTD.
155,500256,LOK HOUSING & CONSTRUCTIONS LTD.
156,500257,LUPIN LTD.
157,500259,LYKA LABS LTD.
158,500260,The Ramco Cements Limited
159,500264,MAFATLAL INDUSTRIES LTD.
160,500265,MAHARASHTRA SEAMLESS LTD.
161,500266,MAHARASHTRA SCOOTERS LTD.
162,500267,MAJESTIC AUTO LTD.
163,500268,MANALI PETROCHEMICAL LTD.
164,500271,Max Financial Services Ltd
165,500274,MESCO PHARMACEUTICALS LTD.
166,500277,MID INDIA INDUSTRIES LTD.
167,500279,MIRC ELECTRONICS LTD.
168,500280,CENTURY ENKA LTD.
169,500284,LORDS CHLORO ALKALI LTD.
170,500285,SPICEJET LTD.
171,500288,MOREPEN LABORATORIES LTD.
172,500290,MRF LTD.
173,500292,HEIDELBERGCEMENT INDIA LTD.
174,500294,NCC Limited
175,500295,Vedanta Limited
176,500296,NAHAR SPINNING MILLS LTD.
177,500298,NATIONAL PEROXIDE LTD.
178,500300,GRASIM INDUSTRIES LTD.
179,500301,NEPC INDIA LTD.
180,500302,PIRAMAL ENTERPRISES LTD.
181,500303,ADITYA BIRLA NUVO LTD.
182,500304,NIIT LTD.
183,500306,JAYKAY ENTERPRISES LTD.
184,500307,NIRLON LTD.
185,500310,Novopan Industries Ltd.
186,500312,Oil and Natural Gas Corporation Ltd
187,500313,OIL COUNTRY TUBULAR LTD.
188,500314,ORIENTAL HOTELS LTD.
189,500315,ORIENTAL BANK OF COMMERCE
190,500317,OSWAL AGRO MILLS LTD.
191,500318,Oswal Spinning & Weaving Mills Ltd.
192,500319,INDIAN SUCROSE LTD.
193,500322,PANYAM CEMENTS & MINERAL INDUSTRIES LTD.
194,500325,RELIANCE INDUSTRIES LTD.
195,500327,Pil Italica Lifestyle Ltd
196,500329,PENTAMEDIA GRAPHICS LTD.
197,500330,RAYMOND LTD.
198,500331,PIDILITE INDUSTRIES LTD.
199,500333,PIX TRANSMISSIONS LTD.
200,500335,BIRLA CORPORATION LTD.
201,500336,SURYA ROSHNI LTD.
202,500337,PRIME SECURITIES LTD.
203,500338,Prism Johnson Ltd
204,500339,Rain Industries Ltd
205,500343,AMJ Land Holdings Ltd
206,500346,PUNJAB COMMUNICATIONS LTD.
207,500350,RSWM LTD.
208,500354,RAJSHREE SUGARS & CHEMICALS LTD.
209,500355,RALLIS INDIA LTD.
210,500356,SHREE RAMA NEWSPRINT LTD.
211,500357,RAMA PAPER MILLS LTD.
212,500358,RAMA PETROCHEMICALS LTD.
213,500359,Ranbaxy Laboratories Ltd.
214,500360,RAPICUT CARBIDES LTD.
215,500365,Welspun Specialty Solutions Ltd
216,500366,ROLTA INDIA LTD.
217,500367,RUBFILA INTERNATIONAL LTD.
218,500368,Patanjali Foods Ltd
219,500370,SALORA INTERNATIONAL LTD.
220,500371,SAMTEL INDIA LTD.
221,500372,SAMTEL COLOR LTD.
222,500378,JINDAL SAW LTD.
223,500380,JK LAKSHMI CEMENT LTD.
224,500387,SHREE CEMENT LTD.
225,500388,SHREE KRISHNA PAPER MILLS & INDUSTRIES LTD.
226,500390,RELIANCE INFRASTRUCTURE LTD.
227,500394,SOLID CARBIDE TOOLS LTD.
228,500399,STEELCO GUJARAT LTD.
229,500400,TATA POWER CO.LTD.
230,500402,SPML Infra Limited
231,500403,SUNDRAM FASTENERS LTD.
232,500404,SUNFLAG IRON & STEEL CO.LTD.
233,500405,SUPREME PETROCHEM LTD.
234,500407,SWARAJ ENGINES LTD.
235,500408,TATA ELXSI LTD.
236,500410,ACC LTD.
237,500411,THERMAX LTD.
238,500412,THIRUMALAI CHEMICALS LTD.
239,500413,THOMAS COOK (INDIA) LTD.
240,500414,TIMEX GROUP INDIA LTD.
241,500418,TOKYO PLAST INTERNATIONAL LTD.
242,500420,TORRENT PHARMACEUTICALS LTD.
243,500422,TRANSCHEM LTD.
244,500425,AMBUJA CEMENTS LTD.
245,500426,UTL Industries Limited
246,500429,UNIPHOS ENTERPRISES LTD.
247,500439,VARDHMAN HOLDINGS LTD.
248,500440,HINDALCO INDUSTRIES LTD.
249,500444,WEST COAST PAPER MILLS LTD.
250,500449,HINDUSTAN ORGANIC CHEMICALS LTD.
251,500450,MPIL CORPORATION LTD.
252,500456,PASUPATI ACRYLON LTD.
253,500458,Kore Foods Ltd
254,500459,PROCTER & GAMBLE HYGIENE & HEALTH CARE LTD.
255,500460,MUKAND LTD.
256,500463,Black Box Ltd
257,500464,Ucal  Ltd
258,500465,Varun Shipping Co.ltd.
259,500467,HARRISONS MALAYALAM LTD.
260,500469,FEDERAL BANK LTD.
261,500470,TATA STEEL LTD.
262,500472,SKF India Ltd
263,500477,ASHOK LEYLAND LTD.
264,500480,CUMMINS INDIA LTD.
