,SYMBOL,NAME OF COMPANY,yTickers
0,20MICRONS,20 Microns Limited,20MICRONS.NS
1,21STCENMGM,21st Century Management Services Limited,21STCENMGM.NS
2,360ONE,360 ONE WAM LIMITED,360ONE.NS
3,3IINFOLTD,3i Infotech Limited,3IINFOLTD.NS
4,3MINDIA,3M India Limited,3MINDIA.NS
5,3PLAND,3P Land Holdings Limited,3PLAND.NS
6,5PAISA,5Paisa Capital Limited,5PAISA.NS
7,63MOONS,63 moons technologies limited,63MOONS.NS
8,A2ZINFRA,A2Z Infra Engineering Limited,A2ZINFRA.NS
9,AAATECH,AAA Technologies Limited,AAATECH.NS
10,AADHARHFC,Aadhar Housing Finance Limited,AADHARHFC.NS
11,AAKASH,Aakash Exploration Services Limited,AAKASH.NS
12,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,AAREYDRUGS.NS
13,AARON,Aaron Industries Limited,AARON.NS
14,AARTECH,Aartech Solonics Limited,AARTECH.NS
15,AARTIDRUGS,Aarti Drugs Limited,AARTIDRUGS.NS
16,AARTIIND,Aarti Industries Limited,AARTIIND.NS
17,AARTIPHARM,Aarti Pharmalabs Limited,AARTIPHARM.NS
18,AARTISURF,Aarti Surfactants Limited,AARTISURF.NS
19,AARVEEDEN,Aarvee Denims & Exports Limited,AARVEEDEN.NS
20,AARVI,Aarvi Encon Limited,AARVI.NS
21,AAVAS,Aavas Financiers Limited,AAVAS.NS
22,ABAN,Aban Offshore Limited,ABAN.NS
23,ABB,ABB India Limited,ABB.NS
24,ABBOTINDIA,Abbott India Limited,ABBOTINDIA.NS
25,ABCAPITAL,Aditya Birla Capital Limited,ABCAPITAL.NS
26,ABDL,Allied Blenders and Distillers Limited,ABDL.NS
27,ABFRL,Aditya Birla Fashion and Retail Limited,ABFRL.NS
28,ABINFRA,A B Infrabuild Limited,ABINFRA.NS
29,ABMINTLLTD,ABM International Limited,ABMINTLLTD.NS
30,ABREL,Aditya Birla Real Estate Limited,ABREL.NS
31,ABSLAMC,Aditya Birla Sun Life AMC Limited,ABSLAMC.NS
32,ACC,ACC Limited,ACC.NS
33,ACCELYA,Accelya Solutions India Limited,ACCELYA.NS
34,ACCURACY,Accuracy Shipping Limited,ACCURACY.NS
35,ACE,Action Construction Equipment Limited,ACE.NS
36,ACEINTEG,Ace Integrated Solutions Limited,ACEINTEG.NS
37,ACI,Archean Chemical Industries Limited,ACI.NS
38,ACL,Andhra Cements Limited,ACL.NS
39,ACLGATI,Allcargo Gati Limited,ACLGATI.NS
40,ACMESOLAR,Acme Solar Holdings Limited,ACMESOLAR.NS
41,ADANIENSOL,Adani Energy Solutions Limited,ADANIENSOL.NS
42,ADANIENT,Adani Enterprises Limited,ADANIENT.NS
43,ADANIGREEN,Adani Green Energy Limited,ADANIGREEN.NS
44,ADANIPORTS,Adani Ports and Special Economic Zone Limited,ADANIPORTS.NS
45,ADANIPOWER,Adani Power Limited,ADANIPOWER.NS
46,ADFFOODS,ADF Foods Limited,ADFFOODS.NS
47,ADL,Archidply Decor Limited,ADL.NS
48,ADOR,Ador Welding Limited,ADOR.NS
49,ADROITINFO,Adroit Infotech Limited,ADROITINFO.NS
50,ADSL,Allied Digital Services Limited,ADSL.NS
51,ADVANIHOTR,Advani Hotels & Resorts (India) Limited,ADVANIHOTR.NS
52,ADVENZYMES,Advanced Enzyme Technologies Limited,ADVENZYMES.NS
53,AEGISLOG,Aegis Logistics Limited,AEGISLOG.NS
54,AEROFLEX,Aeroflex Industries Limited,AEROFLEX.NS
55,AETHER,Aether Industries Limited,AETHER.NS
56,AFCONS,Afcons Infrastructure Limited,AFCONS.NS
57,AFFLE,Affle 3i Limited,AFFLE.NS
58,AFFORDABLE,Affordable Robotic & Automation Limited,AFFORDABLE.NS
59,AFIL,Akme Fintrade (India) Limited,AFIL.NS
60,AFSL,Abans Financial Services Limited,AFSL.NS
61,AGARIND,Agarwal Industrial Corporation Limited,AGARIND.NS
62,AGARWALEYE,Dr. Agarwal's Health Care Limited,AGARWALEYE.NS
63,AGI,AGI Greenpac Limited,AGI.NS
64,AGIIL,Agi Infra Limited,AGIIL.NS
65,AGRITECH,Agri-Tech (India) Limited,AGRITECH.NS
66,AGROPHOS,Agro Phos India Limited,AGROPHOS.NS
67,AGSTRA,AGS Transact Technologies Limited,AGSTRA.NS
68,AHLADA,Ahlada Engineers Limited,AHLADA.NS
69,AHLEAST,Asian Hotels (East) Limited,AHLEAST.NS
70,AHLUCONT,Ahluwalia Contracts (India) Limited,AHLUCONT.NS
71,AIAENG,AIA Engineering Limited,AIAENG.NS
72,AIIL,Authum Investment & Infrastructure Limited,AIIL.NS
73,AIRAN,Airan Limited,AIRAN.NS
74,AIROLAM,Airo Lam limited,AIROLAM.NS
75,AJANTPHARM,Ajanta Pharma Limited,AJANTPHARM.NS
76,AJAXENGG,Ajax Engineering Limited,AJAXENGG.NS
77,AJMERA,Ajmera Realty & Infra India Limited,AJMERA.NS
78,AJOONI,Ajooni Biotech Limited,AJOONI.NS
79,AKASH,Akash Infra-Projects Limited,AKASH.NS
80,AKG,Akg Exim Limited,AKG.NS
81,AKI,AKI India Limited,AKI.NS
82,AKSHAR,Akshar Spintex Limited,AKSHAR.NS
83,AKSHARCHEM,AksharChem India Limited,AKSHARCHEM.NS
84,AKSHOPTFBR,Aksh Optifibre Limited,AKSHOPTFBR.NS
85,AKUMS,Akums Drugs and Pharmaceuticals Limited,AKUMS.NS
86,AKZOINDIA,Akzo Nobel India Limited,AKZOINDIA.NS
87,ALANKIT,Alankit Limited,ALANKIT.NS
88,ALBERTDAVD,Albert David Limited,ALBERTDAVD.NS
89,ALEMBICLTD,Alembic Limited,ALEMBICLTD.NS
90,ALICON,Alicon Castalloy Limited,ALICON.NS
91,ALIVUS,Alivus Life Sciences Limited,ALIVUS.NS
92,ALKALI,Alkali Metals Limited,ALKALI.NS
93,ALKEM,Alkem Laboratories Limited,ALKEM.NS
94,ALKYLAMINE,Alkyl Amines Chemicals Limited,ALKYLAMINE.NS
95,ALLCARGO,Allcargo Logistics Limited,ALLCARGO.NS
96,ALLDIGI,Alldigi Tech Limited,ALLDIGI.NS
97,ALMONDZ,Almondz Global Securities Limited,ALMONDZ.NS
98,ALOKINDS,Alok Industries Limited,ALOKINDS.NS
99,ALPA,Alpa Laboratories Limited,ALPA.NS
100,ALPHAGEO,Alphageo (India) Limited,ALPHAGEO.NS
101,ALPSINDUS,Alps Industries Limited,ALPSINDUS.NS
102,AMBER,Amber Enterprises India Limited,AMBER.NS
103,AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,AMBICAAGAR.NS
104,AMBIKCO,Ambika Cotton Mills Limited,AMBIKCO.NS
105,AMBUJACEM,Ambuja Cements Limited,AMBUJACEM.NS
106,AMDIND,AMD Industries Limited,AMDIND.NS
107,AMIORG,Ami Organics Limited,AMIORG.NS
108,AMJLAND,Amj Land Holdings Limited,AMJLAND.NS
109,AMNPLST,Amines & Plasticizers Limited,AMNPLST.NS
